Nama_Dosen,profile_text,Keahlian_Dasar,Jumlah_Publikasi
"Dr. Eng. Ir. Mardiana, M.T., IPM",implementasi association rule algoritma apriori data pinjam buku upt pustaka universitas lampung metodologi crisp dm kembang sistem informasi geografis perintah kota metro metode ssadm structured system analysis and design method smart monitoring of electrical quantities based on single board computer bcm real time monitoring system of electrical quantities on ict centre building university of lampung based on embedded single board computer bcm real time schoolchild shuttle vehicle tracking system base on android mobile apps full cover sistem kendali palang pintu otomatis barcode bas mikrokontroler atmega pu pintu pustaka unila rancang bangun aplikasi game edukasi koleksi main aksara lampung koper apung bas android metode scrum full cover augmented reality lacak lokasi pustaka ar marker full cover multi area smart monitoring of electrical quantities based on mini single board computer bcm sistem monitoring server bas sms studi server siakad unila usability of lampung heritage virtual reality tour smart monitoring data centre base on mini single board computer bcm augmented reality bas image marker tracking sistem kenal buku pustaka full cover ea mda model to resolve is characteristic problems in educational institutions mda and soa approach to development of web application interface ikis self service kiosk for library service full cover word mute wpm lampung script keyboard full cover how to build digital library in university library automation systems integration case elib and slims augmented reality aplikasi cintabahari media promosi pulau pahawang aplikasi tripgo commerce pariwisata lampung integrasi portal commerce mobile application cintabahari sarana promos pokdarwis pulau pahawang lampung aplikasi monitoring sistem listrik jte unila bas bcm komunikasi host to host payment gateway private network token akses the implementation analysis of lamport scheme with sha on mobile office web service cari koleksi repository pustaka aplikasi eprints analisis unjuk single page web application cyber mediawall pustaka internet traffic measurement trends and impact to campus network full cover let qr augmented reality bas web qr code studi pustaka full cover purwarupa running text tampil informasi led matrix bas arduino android pustaka unila let qr augmented reality bas web qr code studi pustaka simpel an innovative web application interface supporting online course management system web service sedia layan sistem informasi manajemen jurus gusmedi herri rekayasa perangkat lunak sistem informasi teknologi informasi tata kelola ti,"Rekayasa Perangkat Lunak, Sistem Informasi, Teknologi Informasi, Tata Kelola TI",34
"Dr. Ir. M. Komarudin, M.T.",olah citra dasar contoh terap sistem kendali ph siram tanam hidroponik model wick system smart monitoring of electrical quantities based on single board computer bcm implementasi arsitektur xception model machine learning klasifikasi sampah anorganik performance analysis of aruba wireless local area network lampung university monitoring besar listrik jarak jaring listrik fasa bas single board computer bcm sistem informasi reservasi bayar resto bas qr code manfaat sampah kulit pisang kulit durian bahan alternatif ganti pasta batu baterai ancang buat sistem informasi sewa kamera lengkap studio foto bas web kembang sistem agenda pimpin universitas lampung framework laravel sistem kendali holding position quadcopter bas mikrokontroler atmega analisis presepsi mahasiswa implementasi kurikulum merdeka ajar kampus merdeka mbkm multi node sensors for water quality monitoring towards precision aquaculture sistem telemetri unmanned aerial vehicle uav bas inertial measurement unit imu electricity temperature and network utilization monitoring at university of lampung data centre using low cost low power single board mini computer ancang ui ux metode user centered design bas web hitung luas kumuh balai prasarana mukim wilayah lampung low cost non contact rapid body temperature screening using thermal camera for early detection of covid suspect buat running text bas arduino konekasi bluetooth tingkat ipteks karang taruna desa padang cermin ziswaf zakat application to improve ease of recording zakat data in indonesia air quality monitoring device for smart health solution during covid pandemic rancang bangun sistem informasi laboratorium teknik elektro padu universitas lampung bas web analisis persepsi mahasiswa implementasi kurikulum merdeka ajar kampus mredeka mbkm tadbir muwahhid sistem akuisisi data pantau suhu asam ph lingkung air unmanned surface vehicle study of environmental condition using wavelet decomposition based on infrared image mardiana and hery ds electricity temperature and network utilization monitoring at lampung university data centre using low cost low power single board mini computer conf ancang microservice bas rest api google cloud platform nodejs python detection air pollution based on infrared image processing telemetry and tele control of electronic appliances for smart home system classification of civet and canephora coffee using support vector machines svm algorithm based on order feature extraction rancang bangun wahana udara awak vtol uav wahana identifikasi kondisi udara bas video sender rancang bangun sistem stabil kamera foto udara bas wahana udara quadcopter mardiana hd septama electricity temperature and network utilization monitoring at lampung university data centre using low cost low power single board mini computer foreign debt in the perspective of tafsir fii zilaal al qur an by sayyid qutb analisis potensi sekolah jalur terima mahasiswa universitas lampung algoritma means analisa klasifikasi kualitas mahasiswa lulus dasar jalur terima algoritma studi universitas lampung sistem navigasi unmanned surface vehicle pantau daerah air sistem online monitoring besar listrik fasa bas single board computer bcm rancang bangun sistem monitoring sambung internet universitas lampung bas mini single board computer bcm nilai bayar kredit logistic regression random forest home credit resistor network analogy of non obtuse finite element model for electrical impedance tomography rekayasa aquaculture pantau tambak udang realtimedengan model multipoint node analisis faktor faktor pengaruh minat nasabah produk tabung didik asuransi bank syariah mandiri cabang kota bogor olah citra dasar contoh terap mardiana gigih fn custom silicon for finite element modelling improving low cost carbon dioxide sensor accuracy for environmental air quality monitoring systems implementation of one data based lecturer profile information system for key performance indicator monitoring analysis of some variable energy companies by using var garch model study from energy companies of qatar over the years autonomous cyber physical systems for monitoring of methane gas in rice field learning readiness in university of lampung during covid pandemic rancang bangun pantau proses dekomposisi pupuk kompos bas low cost multi point board rancang bangun perangkat kendali rov bas joypad aplikasi pantau kondisi air bas video streaming design and implementation of internet connection system monitoring lampung university based on mini single board computer bcm analisis tingkat paham mahasiswa teknik elektro materi semikonduktor penuh butuh industri studi universitas lampung the application of istisna contract in islamic micro finance institution case study in islamic cooperative bmi analyzing the impact of occupancy patterns on indoor air quality in university classrooms using real time monitoring system fenomena pinjam online masyarakat studi empiris kalang santri mahasiswa implementation of istishna aqd in the financial investment scheme of koperasi syariah benteng mikro indonesia design of key performance indicator dashboard for indonesian higher education based on one data dynamic modeling and analysis of some energy companies of indonesia over the year to by using var ccc garch model diskursus alir teori ajar utama alir proses informasi behaviorisme kognitivisme konstruktivisme humanisme kembang aplikasi monitoring kece suhu tubuh kamera amg bas iot meminimalisir sebar covid rancang bangun prototype alat deteksi arus layan pesan singkat sms otomatis bas mikrokontroler virtual keyboard design of lampung script based on android introducing internet of things iot for community village based on industrial revolution comon carbon monitoring system for university of lampung environment bijak daya masyarakat desa daerah batas kabupaten sintang tahun studi badan daya masyarakat perintah desa kabupaten sintang intensity average value of image segmentation for infrared image of environmental condition analisis daya tampung beban cemar model numerik spasial studi sungai pesanggrahan segmen kota depok jawa barat mardiana and hery ds electricity temperature and network utilization monitoring at conf ancang ukur kapasitans orde femtofarad bas rangkai aktif differensial sistem electrical capacitance volume tomography ecvt simulasi analisa scheduling service class jaring wimax opnet modeler prototype hardware for finite element modelling kembang modul aktivitas laboratorium sistem informasi portal jurus teknik elektro universitas lampung tingkat sadar selamat sehat sosialisasi kerja bangun sederhana camat jagakarsa jakarta selatan analyzing the impact of occupancy patterns on indoor air quality in university classrooms using real time monitoring system design of smart composter based on cyber physical system using thermal image ancang ui ux aplikasi mobile tiket konser eufo metode design thinking enterprise architecture planning based on one data in indonesian higher education latih pemrograman web ahli professional mandiri santri daya ekonomi masyarakat desa padamulya diri baitul maal wa tamwil prototype sistem pintar kelola taman bunga bas teknologi internet of things studi taman kupu kupu gita persada preferensi eks nasabah bmt pailit minat tabung bmt studi camat ciawi perangkat lunak diagnosa sakit manusia bas sistem pakar simulasi analisis kualitas layan jaring mobile wimax rancang bangun software antivirus metode deteksi heuristik rancang bangun sistem enkripsi security komunikasi handie talkie ht mikrokontroler avr seri rancang bangun sistem foto udara layang layang kite aerial photography rancang bangun sistem akuisisi data multifungsi bas pc mikrokontroller atmega reframing urban water systems in indonesian cities the role of multi utility tunnels in reducing physical losses analysis of contractual compliance and financial alignment in productive and investment products within sharia cooperative implementation of qual kw and mcda in formulating sustainable river water quality standard compliance program policies case study of the cileungsi river in bogor regency convolutional neural networks for stingless bee species classification in conservation efforts suhita valley application of water quality modelling for effluent permit policy in the cileungsi river bogor regency west java province kolaborasi dosen mahasiswa latih metode konstruksi efektif proyek bangun gedung evaluating contract compliance and financing alignment in productive and investment products at bmi sharia cooperative kelola wakaf tunai nahdlatul ulama muhammadiyah perspektif undang undang no tahun wakaf buat damping si mbek sistem informasi monitoring besar kambing desa rukti endah advancing precision in air quality forecasting through machine learning integration kembang pasar produk umkm tingkat dapat usaha persepsi mahasiswa didik inklusif diri bmt bas masjid lembaga daya ekonomi masyarakat analyzing urban air quality through machine learning and geographic context tingkat kapasitas urus dewan makmur masjid diri baitul maal wa tamwil desa ciherang pondok tentu kapasitas layak ekonomis plts atap uptd puskesmas rasuan kabupaten ogan komering ulu provinsi sumatera selatan elatihan buat atm beras solusi bagi masyarakat masjid khalilurrahman bandar lampung surat catat cipta sistem jamin mutu universitas lampung spm unila ac id analysis forecasting of gasoline prices in some asean countries by using state space representation on vector autoregressive model study of xception machine learning architecture in waste classification system implementasi manajemen ajar tingkat prestasi ajar siswa sma al falakhussa adah way kanan combination of best first and score image feature selection methods for beef freshness classification kembang dashboard instrumen akreditasi program studi versi iaps laravel framework low cost non contact rapid body temperature screening using thermal camera for early detection of covid suspect ukur user experience aplikasi palcomtech bas mobile metode user experience questionnaire sistem pakar diagnosis hama sakit tanam lada metode backward chaining bas android korespondensi telkomnika kait artikel terbit agustus korespondensi jurnal telkomnika kait artikel judul detection air pollution based on infrared image processin surat catat cipta comon lampir surat catat cipta buku olah citra dasar contoh terap surat catat cipta comon carbon monitoring system for university of lampung environment peer review karya ilmiah jurnal ilmiah judul sistem akuisisi data pantau suhu asam ph lingkung air unmanned surface vehicle surat catat cipta buku dsk karya nilai surat catat cipta buku olah citra karya nilai design of frequency generator and amplifier level converter using nm cmos technology for electro capacitive cancer therapy ecct standard operation mode system hak cipta program komputer font aksara lampung latih tulis aksara daerah font digital guru muat lokal siswa smart monitoring of electrical quantities based on single board computer bcm full cover peer review karya ilmiah prosiding judul intensity average value of image segmentation for infrared of environmental condition prototipe sistem otomasi naik tegang tingkat capai nilai tegang tembus isolasi listrik ithenticate artikel study of environmental condition using wavelet decomposition based on infrared image icitacee mardiana and hery ds erancangan implementasi sistem informasi manajemen material bas web pt pln sektor bangkit tarah simulasi network reference model jaring wimax skripsi judul tingkat terampil main sepakbola siswa serta ekstrakurikuler sepakbola sma negeri rembang tahun ancang antena cerdasberbasis susun antena mikrostrip ghz aplikasi worldwide interoperability for microwave access wimax peer review karya ilmiah jurnal nasional judul sistem telemetri unmanned aerial vehicle uav bas inertial measurement unit imu rekonstruksi citra tomografi kapasitans elektrik metode proyeksi linear iteratif analysis of resistor accuracies of non obtuse finite element model using the smoothness constrained regularisation in electrical impedance tomography terap fault management network management system nms bas open source world wide interoperabilityfor microwave access wimax strategi manajemen waktu tayang prime time stasiun siar trans tv periode juli agustus model soft capacity wideband code division multiple access wcdma ancang simple network management protocol snmp agent simulator bas open source jaring world wide interoperabilityfor microwave access wimax vlsi implementation of finite element modelling hydraulic optimization and headloss modeling of the penstock system in the way melesom mini hydropower plant lampung indonesia peer review judul telemetry and tele control of electronic appliances for smart home system hasil peer review cipta comon carbon monitoring system for university of lampung environment similaritas artikel prosiding int conf judul study of environmental condition using wavelet decomposition based on infrared image rancang bangun monitoring laju detak jantung suhu tubuh android bas internet of things bukti sertifikat cipta comon carbon monitoring system for university of lampung environment similaritas artikel prosiding int conf judul telemetry and telecontrol of appliances for smart home system peer review jurnal internasional detection air pollution based on infrared image processing similaritas artikel int conf judul intensity average value of image segmentation for infrared image of environmental condition dokumen karya nilai surat catat cipta ec peer review prosiding judul artikel study of environmental condition using wavelet decomposition based on infrared image hasil peer review buku olah citra dasar contoh terap dokumen karya nilai surat catat cipta ec similarity internet traffic measurement trends and impact to campus network similarity smart monitoring of electrical quantities based on single board computer bcm peer review smart monitoring of electrical quantities based on single board computer bcm peer review internet traffic measurement trends and impact to campus network ara hemman arunrut vanichanon athit aroonsiwagool azrul mutalib studi larut cu pb proses resuspensi sedimen skala laboratorium elek sistem akuisisi data pantau suhu asam ph lingkung air unmanned surface vehicle control systems of ph and hydroponic plant watering wick system gusmedi herri evaluasi daya masyarakat miskin program penaggulangan miskin kota kp desa limusnunggal cileungsi bogor simulasi pengaruh ubah parameter physical ofdm orthogonal frequency division multiplexing jaring mobile wimax kembang sistem informasi manajemen beban dosen bas web teknologi ic entrepreneurship tata kelola ti computer vision sistem pakar sistem tunjang putus,"Teknologi IC, Entrepreneurship, Tata Kelola TI, Computer Vision, Sistem Pakar, Sistem Penunjang Keputusan",168
"Ir. Gigih Forda Nama, S.T., M.T.I., IPM",analisis sentimen kerja dewan wakil rakyat dpr twitter metode naive bayes classifier sistem kendali ph siram tanam hidroponik model wick system audit energi listrik bas hasil ukur monitoring besar listrik gedung fakultas teknik unila the implementation internet of things iot technology in real time monitoring of electrical quantities implementasi association rule algoritma apriori data pinjam buku upt pustaka universitas lampung metodologi crisp dm an enterprise architecture planning for higher education using the open group architecture framework togaf case study university of lampung sistem deteksi bocor tabung gas lpg otomatis bas arduino uno metode prototype sistem monitoring besar listrik teknologi iot internet of things kembang sistem informasi geografis perintah kota metro metode ssadm structured system analysis and design method prototipe smart door lock motor stepper bas iot internet of things smart monitoring of electrical quantities based on single board computer bcm real time monitoring system of electrical quantities on ict centre building university of lampung based on embedded single board computer bcm sistem monitoring kapasitas air isi otomatis bas iot modul esp monitoring manajemen energi listrik gedung laboratorium bas internet of things iot design and implementation web based geographic information system for public services in bandar lampung city indonesia implementation of two factor authentication fa to enhance the security of academic information system rancang bangun aplikasi monitoring operasi tl ukur phasa pt pln persero unit laksana layan langgan up metro performance analysis of aruba wireless local area network lampung university smart system monitoring of gradient soil temperature at the anak krakatoa volcano monitoring arus tegang daya transformator distribusi kv teknologi internet of things edukasi aplikasi teknologi internet of things audit manajemen energi rangka konservasi efisiensi energi real time schoolchild shuttle vehicle tracking system base on android mobile apps dashboard awas besar listrik waktu audit tata kelola teknologi informasi universitas lampung framework cobit fokus domain edm evaluate direct and monitor implementation of means technique in data mining to cluster researchers google scholar profile rancang bangun aplikasi game edukasi koleksi main aksara lampung koper apung bas android metode scrum analisis ancang layan streaming film bas web langgan framework nextjs electricity temperature and network utilization monitoring at university of lampung data centre using low cost low power single board mini computer design and development of management information systems at the university of lampung library repository using the laravel framework analisis debit andal das way andeng mengunakan data satelit trmm rancang bangun aplikasi game edukasi ajar aksara lampung ajo atu ajar aksara lampung bas android sistem multi ending engine ren py sistem lelang online bas web analisa performance jaring gigabit ethernet local area network lan universitas lampung nilai tata kelola teknologi informasi it governance dasar cobit fokus subdomain deliver support and service studi bank xyz dashboard monitoring atmospheric corrosion sensor in material metal using laravel framework rancang bangun prototipe sistem monitoring mini stasiun cuaca bmkg provinsi lampung implementasi wazuh metode ppdioo sistem aman jaring psdku universitas lampung waykanan deteksi respon serang siber multi area smart monitoring of electrical quantities based on mini single board computer bcm developing prototype of solar tracking for solar cell energy optimization with internet of things iot technology analisis tata kelola teknologi informasi cobit subdomain dss manage operations studi pt bri bo liwa latih damping desain digital content marketing analisis butuh layan transportasi publik kota bandar lampung mardiana and hery ds electricity temperature and network utilization monitoring at lampung university data centre using low cost low power single board mini computer conf rancang bangun modul surat terang bebas pustaka skbp sistem informasi layan administrasi pustaka universitas lampung simpaper real time analysis of wearable sensor data using iot and machine learning in healthcare ancang implementasi augmented reality pantau jadwal ruang kelas marker based tracking kenal aksara lampung metode cnn convolutional neural network virtual reality as learning media for lampung historical heritage martinus and nama gigih forda and ghuffrony rezaldhy and annisa resty and mulyani yessi and djausal anisa nuraisa virtual reality as learning media for lampung analisis daftar pilih hasil rekapitulasi kpu dasar usia algoritma means studi kota bandar lampung telemetry and tele control of electronic appliances for smart home system ancang infrastruktur teknologi informasi adaptif universitas lampung comparison study of convolutional neural network architecture in aglaonema classification classification of civet and canephora coffee using support vector machines svm algorithm based on order feature extraction dashboard monitoring system bas web pantau layan litebig instant messenger smart monitoring data centre base on mini single board computer bcm mardiana real time monitoring system of electrical quantities on ict centre building university of lampung based on embedded single board computer bcm amal data ekonomi model hybrid vector autoregressive long short term memory nilai tata kelola teknologi informasi cobit subdomain dss manage service requests and incidents studi pt bank mandiri lampung kembang desa wisata pulau legundi kabupaten sawar lampung implementasi komunikasi website interaktif kembang aplikasi ground control station gcs awas kendali uav teknologi internet of things iot sistem listrik phasa data real time ukur besar listrik studi pengaruh covid konsumsi listrik fakultas analisa klasifikasi kualitas mahasiswa lulus dasar jalur terima algoritma studi universitas lampung rancang bangun sistem rumah cerdas jaring internet dynamic tunnel switching using network functions virtualization for ha system failover rancang bangun sistem monitoring sambung internet universitas lampung bas mini single board computer bcm design and implementation of real time reading system of atmospheric corrosion sensor on metal material using internet of things iot technology artificial neural network applications use measurements of electrical quantities to estimate electric power analisis performansi voice over internet protocol voip bas session initiation protocol sip jaring wireless lan ieee universitas lampung real time monitoring of patient activity using iot and machine learning in healthcare biaya jasa kelola sumber daya air upaya kelola bas partisipatif kembang sistem sortasi buah duku lansium domesticum dasar warna mikrokontroler arduino sensor warna as implementasi algoritma nearest neighbor sistem rekomendasi topik teliti jurus ilmu komputer universitas lampung bas klasifikasi an enhanced means clustering algorithm for pattern discovery in big data analysis of phase electrical quantities audit tata kelola teknologi informasi framework cobit pt bank rakyat indonesia unit pringsewu implementation of na ve bayes classifier support vector machine algorithm for sentiment classification using twitter data on indonesian presidential candidates in performance comparison analysis of springboot and laravel frameworks using api web service kaji potensi kembang kawasan agropolitan kabupaten pringsewu sistem monitoring berat udang bas web tambak tangan ambles jalan kereta api km km cempaka ketapang lintas tarah tanjung enim guna sistem struktur balok grid solusi struktur lantai bangun instalasi olah air liter detik putusibau kabupaten kapuas hulu kalimantan barat studi assessment of information technology governance implementation based on cobit framework focus on dss subdomain deliver service and support case study of bank xxx branch rancang bangun sistem layan ambulance gratis kota bandar lampung bas android internet traffic measurement trends and impact to campus network nilai tata kelola teknologi informasi framework cobit subdomain edm studi pt bank lampung kantor pusat pengaruh guna vlan software defined network bas ryu controller exploring regression and classification in big data with deep learning tangan black spot blind spot jalan raya upaya kurang tingkat rugi masyarakat finansial korban jiwa capai program kota tangan kumuh lurah hadimulyo barat hadimulyo timur cepat insinyur sertifikasi latih teknik isi sistem informasi manajemen insinyur simponi analisis sentimen komisi berantas korupsi kpk media sosial twitter terap algoritma naive bayes classifier analisis tata kelola teknologi informasi dasar cobit fokus subdomain deliver service and support dss manage operation studi pt cerita teknologi indonesia assessment of information technology governance implementation based on cobit framework focus on apo subdomain align plan and organise the effect of filler adding palm kernel shell ash on durability and marshall values properties of asphalt concrete mix nilai implementasi tata kelola teknologi informasi dasar framework cobit fokus subdomain dss deliver service and support studi pt bank xxx cabang design and implementation of smart energy management system integrated with internet of things technology in engineering faculty unila rancang bangun aplikasi lokasi bus rapid transit brt bas global positioning system gps sms gateway comon carbon monitoring system for university of lampung environment aplikasi sistem lacak lokasi kendara jemput anak sekolah bas android implementasi modul global positioning system gps sistem tracking bus rapid transit brt lampung smart transportation smart monitoring uninterruptible power supply ups data center universitas lampung tingkat kapasitas kelompok wanita tani kwt hilir produk jamur desa gading rejo utara pringsewu implementasi sistem aman jaring psdku universitas lampung waykanan server wazuh deteksi respon serang siber rancang bangun aplikasi mobile monitoring parameter lingkung besar listrik gedung tinggi bas android online fuzzy logic prediction of electrical load based on real time measurements during the covid pandemic design and implementation of free ambulance service system in bandar lampung city based on android mobile application nilai implementasi tata kelola teknologi informasi dasar framework cobit fokus subdomain apo align plan and organise studi pt bank tabung negara the operational pattern of the dam and weir cascade on the way kampung river nilai tata kelola teknologi informasi dasar cobit fokus subdomain deliver service and support dss studi pt bank lampung kontrol cepat motor induksi teknologi iot internet of things prototype sistem pintar kelola taman bunga bas teknologi internet of things studi taman kupu kupu gita persada sistem kendali ph siram tanam hidroponik wick system aplikasi position tracking vehicle bas intelligent transportation system shuttle bus universitas lampung driver information system shuttle bus universitas lampung rancang bangun aplikasi game edukasi koper apung koleksi main aksara lampung bas android web based real time monitoring of electrical quantities measurement audit teknologi informasi pt astra international tbk daihatsu lampung dekat cobit data mining perangkat access point wifi local data network universitas lampung implementasi komunikasi machine to machine aplikasi smart city studi aplikasi prototype smart city kota bandar lampung aplikasi monitoring sistem listrik jte unila bas bcm sistem informasi geografis layan sehat kota bandar lampung sistem informasi layan sehat kota bandar lampung bas sistem informasi geografis sig google maps api rancang bangun sistem informasi geografis layan didik kota bandar lampung smart monitoring uninterruptible power supply ups data center universitas lampung studi implementasi mobile ticketing bas teknologi near field communication nfc integrasi nextcloud truenas scale sistem private cloud storage arsip digital bbws mesuji kampung ancang konfigurasi infrastruktur nas bas truenas simpan pusat sistem arsip bbws mesuji kampung implementasi manajemen hak akses aman sistem arsip digital nextcloud bbws mesuji kampung damping olah limbah industri ikan natural seasoning product transfer teknologi antimikroba pekon walur pesisir barat latih kendali cepat motor induksi bas internet of things siswa siswi smk mei bandar lampung smart building monitoring an iot enabled mobile system for electrical and environmental assessment implementasi framework cobit audit tata kelola teknologi informasi studi diskominfo kab rejang lebong enhancing digital service reliability through devops auto scaling and load balancing case study at rsptn university of lampung real time monitoring and analysis of main distribution panel mdp load variation using modbus and node red case study at the electrical engineering building university of terap social media marketing tingkat daya tarik kunjung desa wisata pulau legundi analisa produktivitas alat berat angkut kerja tingkat jalan ruas ktm jembatan sungai buaya dak reguler kabupaten mesuji evaluasi tata kelola teknologi informasi framework cobit dasar domain edm ensure benefits delivery studi pt bank lampung kantor pusat peran tata kelola teknologi informasi framework cobit fokus subdomain dss manage service requests and incidents studi pt bank mandiri lampung nilai tata kelola teknologi informasi framework cobit dasar domain dss manage operations studi pt bank rakyat indonesia branch office liwa imbalanced data in research topic recommendations rancang bangun aplikasi mobile pianika bas ios dekat gamification rancang bangun sistem informasi manajemen aset psdku universitas lampung way kanan framework laravel kenal aksara lampung bas cocok template metode sum of absolute differences sad the smart analysis of performing scalable inference for big data analytics examining the usability and security features of smart farm iot systems operasional pelihara pipa gas section bas data histori tahun terap seleksi fitur klasifikasi kualitas citra retina dekat no reference image quality assessment deteksi diabetic retinopathy analisa kondisi jalan metode sdi surface distress index ruas jalan sp aji sp lubuk kabupaten ogan komering ulu selatan rencana kerja pelabur aspal lapis aus keras beton semen mutu rendah bangun jalan air terjun desa jepara camat buay pematang ribu nilai tata kelola teknologi informasi framework cobit dasar domain apo manage relationship studi departemen marketing pt xyz sentiment analysis of komisi berantas korupsi kpk on twitter social media by applying the algorithm na ve bayes classifier policy optimization of residential rooftop solar pv system adoption in indonesia considering stakeholders rencana kembang rumah sakit mardi waluyo metro analisa konsep iklim bising digitalisasi lapor risk containment audit aplikasi wcare sistem informasi angkut seberang bakauheni analisis tata kelola teknologi informasi dasar cobit fokus subdomain deliver service and support dss studi pt cerita teknologi indonesia evaluasi kerja komputasi alir daya fasa manfaat teknologi virtual data center universitas lampung rancang bangun sistem informasi manajemen repository pustaka universitas lampung framework laravel rancang bangun modul helpdesk sistem informasi digital pustaka universitas lampung studi pustaka universitas lampung studi banding arsitektur convolutional neural network klasifikasi aglaonema consumer segmentation knowledge analysis using data science approach for marketing strategy recommendations analisis segmentasi konsumen metode means clustering dasar model rfm tahu data rekomendasi strategi pasar studi analisa pengaruh terap precast jaring irigasi way srikaton kab lampung tengah hilang air consumer segmentation knowledge analysis using data science approach for marketing strategy recommendations email coresponding the effect of filler adding palm kernel shell ash on durability and the marshall values properties of asphalt concrete mix ancang implementasi sistem informasi kelola iur rumah studi rumah griya kencana bandar lampung implementasi algoritma na ve bayes sistem rekomendasi topik teliti jurus ilmu komputer universitas lampung bas klasifikasi design and implementation of smart energy management system integrated with internet of things iot technology in engineering faculty unila sistem dashboard iot kuantitas besar listrik fasa paten sederhana sistem dashboard iot kuantitas besar listrik fasa kontrol cepat motor induksi iot internet of things terap teknik data mining decision tree tentu pola minat jalur terima mahasiswa universitas lampung buat poster siklus hidup kupu kupu sumatra bangun sadar keanekaragaman hayati taman kupu kupu gita persada rancang bangun aplikasi commerce pariwisata integrasi portal commerce sistem monitoring edge node network universitas lampung bas internet of things iot dashboard monitoring of atmospheric corrosion sensor in materials metal using laravel framework surat catat cipta comon lampir koper apung ec hki program komputer font aksara lampung surat catat cipta comon carbon monitoring system for university of lampung environment hki program komputer comon carbon monitoring system for university of lampung environment hki program komputer real time energy monitoring system hki main video koper apung program komputer koper apung sertifikat deskripsi hki program komputer electricity real time estimation system hak cipta program komputer real time energy monitoring system hak cipta program komputer electricity real time estimation system online monitoring sistem distribusi tenaga listrik bas arduino kembang mobile dictionary bahasa lampung bas teknologi spa single web page application rancang bangun sistem monitoring gradien temperatur tanah area gunung anak krakatau bas single board computer bcm rancang bangun aplikasi lokasi bus rapid transit brt bandar lampung bas global positioning system gps sms gateway similarity jurnal asi journal of information technology judul smart system monitoring of gradient soil temperature at the anak krakatoa volcano aplikasi monitoring sistem listrik jte unila bas bcm smart system monitoring of gradient soil temperature at the manfaat listrik tenaga surya aman tambak ikan air tawar lampu led desa pagelaran camat pagelaran kabupaten pringsewu lampung sistem informasi geografis layan didik kota bandar lampung hak cipta program komputer font aksara lampung sistem informasi mukim mahasiswa bas sistem informasi geografis sig google maps api the university of lampung internet traffic measurement trends and impact in campus network aplikasi realtime monitoring uninteruptible power supply ups data center universitas lampung smart monitoring data centre base on mini single board computer bcm analisis performansi voice over internet protocol voip bas session initiation protocol sip jaring wireless lan ieee universitas lampung electricity temperature and network utilization monitoring at lampung university data centre using low cost low power single board mini computer ancang analisa pc cloning windows multipoint server unit laksana teknis layan ajar upt pp universitas lampung implementasi wifi jaring unila implementasi jaring ipv jaring local area network lan universitas lampung mekanisme tunneling analisis tata kelola teknologi informasi bedasarkan cobit fokus subdomain deliver service and support dss studi pt cerita teknologi indonesia dokumen karya nilai surat catat cipta ec student service corner peer review smart monitoring data centre base on mini single board computer bcm in smart monitoring data centre base on mini single board computer bcm wahyu eko sulistiono jurus teknik elektro universitas lampung bandar lampung jl sumantri brojonegoro no and bandar lampung implementasi modul global positioning system gps sistem tracking bus rapid transit brt aplikasi taman bunga bas internet of things studi taman kupu kupu kembang sistem sortasi buah duku lansium domesticum dasar warna mikrokontroler arduino sensor warna as pola operasi kaskade bendung bendung sungai way kampung control systems of ph and hydroponic plant watering wick system bahari idrus budi harjo computer networking internet of things data mining cloud computing soa teknologi informasi enterprise architecture manajemen risiko,"Computer Networking, Internet of Things, Data Mining, Cloud Computing, SOA, Teknologi Informasi, Enterprise Architecture, Manajemen Risiko",217
